"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"CONFIGURATION_POLE-THROW";"CONTACT_CURRENT_RATING";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"TE_PURCHASE_URL";
"C1";"JMK107ABJ106KAHT";"JMK107ABJ106KAHT";"CAPC1608X95N";"";"Unavailable";"";"";"";" 0 ";"";"";"";"";"";"Taiyo Yuden";"";"";"JMK107ABJ106KAHT";"";"";"";"1608 Taiyo Yuden";"";"None";"";"";"";"";
"C2";"JMK107ABJ106KAHT";"JMK107ABJ106KAHT";"CAPC1608X95N";"";"Unavailable";"";"";"";" 0 ";"";"";"";"";"";"Taiyo Yuden";"";"";"JMK107ABJ106KAHT";"";"";"";"1608 Taiyo Yuden";"";"None";"";"";"";"";
"C3";"JMK107ABJ106KAHT";"JMK107ABJ106KAHT";"CAPC1608X95N";"";"Unavailable";"";"";"";" 0 ";"";"";"";"";"";"Taiyo Yuden";"";"";"JMK107ABJ106KAHT";"";"";"";"1608 Taiyo Yuden";"";"None";"";"";"";"";
"C4";"C0805X104K4RACAUTO";"C0805X104K4RACAUTO";"CAPC2012X88N";"";"Unavailable";"";"";"";" CAP CER 0.1UF 16V X7R 0805 ";"";"";"";"";"";"KEMET";"";"";"C0805X104K4RACAUTO";"";"";"";"0805 KEMET";"";"None";"";"";"";"";
"C5";"LMK316BBJ107ML-T";"LMK316BBJ107ML-T";"CAPC3216X190N";"";"Unavailable";"";"";"";" CAP, MLCC, 1206/3216, 10V, X5R, ";"";"";"";"";"";"Taiyo Yuden";"";"";"LMK316BBJ107ML-T";"";"";"";"3216 Taiyo Yuden";"";"None";"";"";"";"";
"C6";"TMK105CBJ225KV-F";"TMK105CBJ225KV-F";"CAPC1005X70N";"";"Unavailable";"";"";"";" CAP CER 2.2UF 25V X5R 0402 ";"";"";"";"";"";"Taiyo Yuden";"";"";"TMK105CBJ225KV-F";"";"";"";"1005 Taiyo Yuden";"";"None";"";"";"";"";
"C8";"C0805X104K4RACAUTO";"C0805X104K4RACAUTO";"CAPC2012X88N";"";"Unavailable";"";"";"";" CAP CER 0.1UF 16V X7R 0805 ";"";"";"";"";"";"KEMET";"";"";"C0805X104K4RACAUTO";"";"";"";"0805 KEMET";"";"None";"";"";"";"";
"J1";"XF2M-4015-1A";"XF2M-4015-1A";"XF2M-XX15-1A";"Omron XF2M Series 0.5mm Pitch 40 Way 1 Row Right Angle SMT Female FPC Connector Locking Mechanism";"";"";"";"";"Omron XF2M Series 0.5mm Pitch 40 Way 1 Row Right Angle SMT Female FPC Connector Locking Mechanism";"";"";"mm";"Omron Electronics";"XF2M-4015-1A";"";"653-XF2M-4015-1A";"https://www.mouser.com/Search/Refine.aspx?Keyword=653-XF2M-4015-1A";"";"";"";"";"";"";"";"";"";"";"";
"J2";"ZX62R-B-5P(30)";"ZX62R-B-5P(30)";"HRS_ZX62R-B-5P(30)";"ZX Series 5 Pin Single Port USB 2.0 Micro B Top Mount Receptacle Male";"Unavailable";"";"";"";" USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle ";"";"";"";"";"";"Hirose";"";"";"ZX62R-B-5P_30_";"";"";"";"None";"";"None";"";"";"";"";
"LED1";"";"LED_ESML0603";"LED_SML0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"D";"diode";"";
"LED2";"";"LED_ESML0603";"LED_SML0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"D";"diode";"";
"LED3";"";"LED_ESML0603";"LED_SML0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"D";"diode";"";
"LED4";"";"LED_ESML0603";"LED_SML0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"D";"diode";"";
"Q1";"MMUN2133LT1G";"MMUN2133LT1G";"SOT95P240X111-3N";"Bias Resistor Transistors PNP Silicon SM Transistors with Monolithic Bias Resistor Network";"Unavailable";"";"";"";" Bias Resistor Transistors PNP Silicon SM Transistors with Monolithic Bias Resistor Network ";"";"";"";"";"";"ON Semiconductor";"";"";"MMUN2133LT1G";"";"";"";"SOT-23-3 ON Semiconductor";"";"None";"";"";"";"";
